,ATELNO,Sources
0,ATEL #1,4U 1626-67
1,ATEL #2,GB971227
2,ATEL #3,GB971227
3,ATEL #5,grb971214
4,ATEL #6,grb980109
5,ATEL #7,grb971214
6,ATEL #8,MXB 1730-335
7,ATEL #9,MXB 1730-335
8,ATEL #11,XTE J1858+034
9,ATEL #11,4U 1626-67
10,ATEL #11,EXO 2030+375
11,ATEL #12,GB980425
12,ATEL #13,GB980425
13,ATEL #14,grb980425
14,ATEL #14,GB980425
15,ATEL #15,GB980425
16,ATEL #17,XTE J1806-246
17,ATEL #20,GB980515
18,ATEL #20,grb980515
19,ATEL #21,GB980519
20,ATEL #22,GB980515
21,ATEL #24,SGR 1900+14
22,ATEL #24,SGR 1806-20
23,ATEL #26,SGR 1900+14
24,ATEL #29,SGR1627-41
25,ATEL #30,SGR 1627-41
26,ATEL #31,sn1998bw
27,ATEL #31,grb980425
28,ATEL #32,MXB 1730-335
29,ATEL #33,grb970508
30,ATEL #34,XTE J1550-564
31,ATEL #36,3A 1942+274
32,ATEL #37,XTE J1550-564
33,ATEL #38,grb981226
34,ATEL #40,4U 0115+63
35,ATEL #43,SAX J1819.3-2525
36,ATEL #43,XTE J1819-254
37,ATEL #45,SAX J1819.3-2525
38,ATEL #45,XTE J1819-254
39,ATEL #46,MXB 1730-335
40,ATEL #47,XTE J1859+226
41,ATEL #48,XTE J1859+226
42,ATEL #49,XTE J1859+226
43,ATEL #50,XTE J1859+226
44,ATEL #51,XTE J1859+226
45,ATEL #52,2S 1417-624
46,ATEL #53,2S 1417-624
47,ATEL #54,GS2023+338
48,ATEL #55,XTE J1859+226
49,ATEL #56,GS2023+338
50,ATEL #57,4U 1728-34
51,ATEL #57,MXB 1730-335
52,ATEL #58,XTE J1550-564
53,ATEL #60,XTE J1859+226
54,ATEL #61,XTE J1819-254
55,ATEL #64,m2
56,ATEL #66,GRS 1758-258
57,ATEL #67,XTE J1118+480
58,ATEL #69,1E 1740.7-2942
59,ATEL #69,GRS 1758-258
60,ATEL #70,XTE J1550-564
61,ATEL #71,GRS1915+105
62,ATEL #72,KS 1731-260
63,ATEL #74,ngc6440
64,ATEL #75,KS 1731-260
65,ATEL #76,XMMU J004245.2+411721
66,ATEL #76,CXOU J004305.5+411703
67,ATEL #76,m31
68,ATEL #76,XMMU J004308.5+411820
69,ATEL #76,CXOU J004242.1+411424
70,ATEL #77,4U 1608-522
71,ATEL #79,CXO J004251.2+411639
72,ATEL #79,CXOU J004305.5+411703
73,ATEL #79,CXOU J004239.5+411614
74,ATEL #79,m31
75,ATEL #79,CXOU J004428.4+415628
76,ATEL #79,CXOU J004242.1+411424
77,ATEL #79,RX J0043.1+4118
78,ATEL #80,1RXS J162848.1-415241
79,ATEL #80,MCQC J1628-4152
80,ATEL #81,XTE J1650-500
81,ATEL #82,CXOU J004305.5+411703
82,ATEL #82,m31
83,ATEL #82,XMMU J004414.0+412204
84,ATEL #82,CXOU J004307.0+411809
85,ATEL #82,CXOU J004414.3+412205
86,ATEL #84,SAX J1805.5-2031
87,ATEL #86,XTE J1908+094
88,ATEL #87,XTE J1751-305
89,ATEL #88,XTE J1901+014
90,ATEL #88,grb020406
91,ATEL #88,2E1859.1+0122
92,ATEL #89,XTE J1901+014
93,ATEL #89,RXS J190141.0+012618
94,ATEL #89,1RXS J190141.0+012618
95,ATEL #90,XTE J1751-305
96,ATEL #91,4U 1626-67
97,ATEL #91,XTE J1751-305
98,ATEL #91,4U 0614+091
99,ATEL #91,4U 1820-30
100,ATEL #92,XTE J0929-314
101,ATEL #93,XTE J1901+014
102,ATEL #93,1RXS J190141.0+012618
103,ATEL #94,1E 1740.7-2942
104,ATEL #94,GRS 1758-258
105,ATEL #96,1ES1959+650
106,ATEL #97,CXOU J004154.6+405648
107,ATEL #97,m31
108,ATEL #97,1RXS J004154.1+405648
109,ATEL #98,4U 1543-47
110,ATEL #99,1E 2259+586
111,ATEL #100,1E 2259+586
112,ATEL #100,1E2259+586
113,ATEL #101,XB 1745-25
114,ATEL #102,XTE J1855-026
115,ATEL #103,4U 1543-475
116,ATEL #104,XTE J1650-500
117,ATEL #106,4U 1630-47
118,ATEL #108,4U 1630-47
119,ATEL #109,4U 1630-47
120,ATEL #110,SAX J1808.4-3658
121,ATEL #111,XTE J1450-603
122,ATEL #112,XTE J1450-603
123,ATEL #114,XTE J1720-318
124,ATEL #115,XTE J1720-318
125,ATEL #116,sn2002hi
126,ATEL #117,XTE J1720-318
127,ATEL #118,1RXS J190411.9+031210
128,ATEL #119,IGR J16318-4848
129,ATEL #121,1RXS J190411.9+031210
130,ATEL #122,XTE J1807-294
131,ATEL #123,XTE J0119-731
132,ATEL #126,4U 1608-52
133,ATEL #127,XTE J1807-294
134,ATEL #129,XTE J1200+521
135,ATEL #129,HD 104243
136,ATEL #129,1RXS J120011.2+051056
137,ATEL #131,IGR J16358-4726
138,ATEL #133,IGR J17464-3213
139,ATEL #133,XTE J1746-322
140,ATEL #134,XTE J1550-564
141,ATEL #135,XTE J1550-564
142,ATEL #136,IGR J17464-3213
143,ATEL #137,IGR J17464-3213
144,ATEL #137,XTE J17464-3213
145,ATEL #139,IGR J17464-3213
146,ATEL #139,GRS 1915+105
147,ATEL #139,XTE J17464-3213
148,ATEL #140,IGR J17464-3213
149,ATEL #141,XTE J17464-3213
150,ATEL #141,XTE 17464-3213
151,ATEL #142,IGR J17464-3213
152,ATEL #142,XTE J1746-322
153,ATEL #143,1RXS J174948.4-331215
154,ATEL #143,IGR J17464-3213
155,ATEL #143,SLX 1746-331
156,ATEL #143,XTE J1746-322
157,ATEL #143,RX J1749.8-3312
158,ATEL #144,SLX 1746-331
159,ATEL #145,SLX1746-331
160,ATEL #146,XTE J17464-3213
161,ATEL #148,XTE J1807-294
162,ATEL #149,IGR J17091-3624
163,ATEL #150,IGR J17091-3624
164,ATEL #151,IGR J18539+0727
165,ATEL #151,GRS1915+105
166,ATEL #152,IGR J17091-3624
167,ATEL #153,XTE J1720-318
168,ATEL #153,IGRJ1746-3213
169,ATEL #154,IGR J18325-0756
170,ATEL #155,IGR J17597-2201
171,ATEL #155,AX1820.5-1434
172,ATEL #156,IGR J17597-2201
173,ATEL #156,XTE J1759-220
174,ATEL #157,GS1845-03
175,ATEL #157,IGR J18483-0311
176,ATEL #157,1RXH J184817.3-031017
177,ATEL #158,IGR J18539+0727
178,ATEL #159,GS1843+009
179,ATEL #160,IGR J17091-3624
180,ATEL #161,4U 1630-47
181,ATEL #163,CXOU J005750.3-720756
182,ATEL #163,XTE J0103-728
183,ATEL #163,XTE J0055-724
184,ATEL #164,SAX J1808.4-3658
185,ATEL #164,XTE J1814-338
186,ATEL #165,SAX J1808.4-3658
187,ATEL #165,XTE J1814-338
188,ATEL #166,EXMS B1810-337
189,ATEL #166,XTE J1814-338
190,ATEL #167,XTE J1811-197
191,ATEL #167,SGR 1806-20
192,ATEL #168,XTE J1811-197
193,ATEL #169,SLX 1746-331
194,ATEL #169,SLX1746-311
195,ATEL #173,SAX J2103.5+4545
196,ATEL #174,SAX J1819.3-2525
197,ATEL #176,IGR J16479-4514
198,ATEL #179,EXO 1722-363
199,ATEL #179,GPS 1722-363
200,ATEL #180,IGR J17464-3213
201,ATEL #180,XTE J1746-322
202,ATEL #181,IGR J17391-3021
203,ATEL #181,XTE J1739-302
204,ATEL #182,XTE J1739-302
205,ATEL #183,SGR1808-20
206,ATEL #183,SGR1806-20
207,ATEL #183,SGR 1806-20
208,ATEL #184,IGR J17391-3021
209,ATEL #184,XTE J1739-302
210,ATEL #185,1E1740.7-2942
211,ATEL #185,GRS1758-258
212,ATEL #186,XTE J1739-302
213,ATEL #187,MXB1730-335
214,ATEL #188,AX J1809.8-1943
215,ATEL #188,XTE J1810-197
216,ATEL #188,CXOU J180951.1-194351
217,ATEL #188,1RXS J180951.5-194345
218,ATEL #189,IGR J17464-3213
219,ATEL #190,IGR J17544-2619
220,ATEL #191,IGR J17544-2619
221,ATEL #191,1RXS J175428.3-262035
222,ATEL #192,IGR J17544-2619
223,ATEL #193,XTE J1810-197
224,ATEL #194,2MASS J17542527-2619526
225,ATEL #194,IGR J17544-2619
226,ATEL #195,4U0142+61
227,ATEL #195,XTE J1810-197
228,ATEL #195,CXOU J180951.1-194351
229,ATEL #195,SGR 1806-20
230,ATEL #197,MX0656-072
231,ATEL #198,XTE J17464-3213
232,ATEL #198,IGR J1746-3213
233,ATEL #199,MX0656-072
234,ATEL #199,XTEJ0658-073
235,ATEL #200,XTE J0658-073
236,ATEL #201,XTE J1720-318
237,ATEL #201,IGR J16316-4028
238,ATEL #201,3EG J1631-4033
239,ATEL #201,1RXS J163336.7-404609
240,ATEL #202,MX0656-072
241,ATEL #202,RX J065815.0-071237
242,ATEL #202,RX J065817.7-071228
243,ATEL #203,XTE J1810-197
244,ATEL #203,CXOU J180951.1-194351
245,ATEL #205,XTE J1748-361
246,ATEL #206,XTE J1748-361
247,ATEL #207,XTE J1810-197
248,ATEL #207,CXOU J180951.1-194351
249,ATEL #208,XTE J1748-361
250,ATEL #210,XTE J1748-361
251,ATEL #212,4U 1543-475
252,ATEL #215,XTE J0052-725
253,ATEL #215,MACS J0052-726
254,ATEL #217,AX J0054.8-7244
255,ATEL #217,RX J0055.4-7210
256,ATEL #217,RX J0054.9-7245
257,ATEL #218,XTE J1739-302
258,ATEL #219,CXOU J005455.6-724510
259,ATEL #219,XMMU J005455.4-724512
260,ATEL #219,RX J0055.2-7238
261,ATEL #219,RX J0054.9-7245
262,ATEL #219,AX J0054.8-7244
263,ATEL #219,XTE J0055-727
264,ATEL #219,XMMU J005517.9-723853
265,ATEL #221,XTE J1650-500
266,ATEL #222,CXOU J140332.3+542103
267,ATEL #222,m101
268,ATEL #223,1RXS J060731.8+222120
269,ATEL #223,IGR J06074+2205
270,ATEL #224,1RXS J154814.5-452845
271,ATEL #224,IGR J15479-4529
272,ATEL #224,IGR J16418-4532
273,ATEL #224,4U 1630-47
274,ATEL #226,IGR J06074+2205
275,ATEL #227,IGR J16316-4028
276,ATEL #227,IGR J16393-4643
277,ATEL #227,AX J1639.0-4642
278,ATEL #229,IGR J17303-0601
279,ATEL #229,IGR J18027-1455
280,ATEL #229,IGR J21247+5058
281,ATEL #229,IGR J17488-3253
282,ATEL #229,IGR J17254-3257
283,ATEL #229,IGR J17285-2922
284,ATEL #229,IGR J1655.8-5203
285,ATEL #229,IGR J16167-4957
286,ATEL #229,IGR J17460-3047
287,ATEL #229,IGR J17195-4100
288,ATEL #229,IGR J16195-4945
289,ATEL #229,IGR J17200-3116
290,ATEL #229,IGR J17252-3616
291,ATEL #229,IGR J16558-5203
292,ATEL #229,IGR J16207-5129
293,ATEL #232,ngc6814
294,ATEL #232,AXJ1846.4-0258
295,ATEL #232,AXJ1838.0-0655
296,ATEL #232,AXJ1820.5-1434
297,ATEL #232,4U2206+54
298,ATEL #232,XTEJ1807-294
299,ATEL #232,RXJ1940.1-1025
300,ATEL #232,4U0114+65
301,ATEL #232,AXJ1700.2-4220
302,ATEL #232,PSRJ1649-4349
303,ATEL #232,1E1841-045
304,ATEL #232,2E1742.5-2858
305,ATEL #232,2E1739.1-1210
306,ATEL #232,4U1849-31
307,ATEL #233,2S 1711-339
308,ATEL #234,1RXS J162848.1-415241
309,ATEL #235,IGR J21247+5058
310,ATEL #235,BG 2122+50
311,ATEL #237,4U 1724-307
312,ATEL #238,2S 1711-339
313,ATEL #239,IRAS 17391-1210
314,ATEL #239,IGR J17418-1212
315,ATEL #239,1RXS J174155.3-121157
316,ATEL #239,2E1739.1-1210
317,ATEL #240,IGR J16318-4848
318,ATEL #241,4U 1724-307
319,ATEL #244,2S 1711-339
320,ATEL #246,IGR J18027-1455
321,ATEL #246,1RXS J180245.5-145432
322,ATEL #247,4U 1630-47
323,ATEL #248,4U 1728-34
324,ATEL #249,PSR 1259-63
325,ATEL #250,PSR 1259-63
326,ATEL #251,1RXP J130159.6-635806
327,ATEL #251,PSR 1259-63
328,ATEL #252,IGR J17544-2619
329,ATEL #253,IGR J16316-4028
330,ATEL #254,4U 1608-52
331,ATEL #255,4U 1728-34
332,ATEL #255,2S 1711-339
333,ATEL #255,4U 1711-34
334,ATEL #255,RX J170930.2-263927
335,ATEL #255,GRS 1747-312
336,ATEL #255,SAX J1747.0-2853
337,ATEL #256,SAX J1747.0-2853
338,ATEL #257,1E1740.7-2942
339,ATEL #257,KS1741-293
340,ATEL #258,1E 1740.7-2942
341,ATEL #258,GRS 1758-258
342,ATEL #261,RXH J075942.0-384355
343,ATEL #261,IGR J07597-3842
344,ATEL #261,RXH J075959.2-384102
345,ATEL #261,IRAS 07579-3835
346,ATEL #261,IGR J07594-3843
347,ATEL #262,XTE J1709-267
348,ATEL #263,RXH J075942.0-384359
349,ATEL #263,IGR J07597-3842
350,ATEL #264,1RXS J174155.3-121157
351,ATEL #264,2E 1739.1-1210
352,ATEL #265,XTE J1748-361
353,ATEL #266,XTE J1748-361
354,ATEL #267,XTEJ1748-361
355,ATEL #267,XTE J1748-361
356,ATEL #271,m101
357,ATEL #271,ngc5457
358,ATEL #272,EXO 1912+097
359,ATEL #272,IGR J19140+0951
360,ATEL #274,XTE J1858+034
361,ATEL #275,IGR J01363+6610
362,ATEL #276,IGR J01363+6610
363,ATEL #277,2E 0050.1-7247
364,ATEL #278,IGR J11305-6256
365,ATEL #280,GRS 1915+105
366,ATEL #281,1RXS J003709.6+612131
367,ATEL #281,IGR J00370+6122
368,ATEL #282,1RXS J003709.6+612131
369,ATEL #283,2S 0114+650
370,ATEL #284,XTE J1810-197
371,ATEL #285,IGR J00370+6122
372,ATEL #289,AX J1841.0-0536
373,ATEL #290,1E 1145.1-6141
374,ATEL #293,4U 0142+614
375,ATEL #293,RX J0146.9+6121
376,ATEL #293,1E 1841-045
377,ATEL #297,SAX J1819.3-2525
378,ATEL #298,1E 1048.1-5937
379,ATEL #301,XTE J17464-3213
380,ATEL #301,IGR J1746-3213
381,ATEL #304,XTE J17464-3213
382,ATEL #304,IGR J1746-3213
383,ATEL #305,CXOU J140332.3+542103
384,ATEL #305,m101
385,ATEL #306,m101
386,ATEL #308,XTE J1858+034
387,ATEL #310,IGR J18027-1455
388,ATEL #310,1RXS J180245.5-145432
389,ATEL #310,IGR J18027-1255
390,ATEL #311,m101
391,ATEL #312,IGR J00370+6122
392,ATEL #313,SGR 1806-20
393,ATEL #314,XTE J17464-3213
394,ATEL #314,IGR J1746-3213
395,ATEL #317,1WGA J1830.1-0954
396,ATEL #317,XTE J1829-098
397,ATEL #317,4U 1626-67
398,ATEL #319,XTE J1829-098
399,ATEL #320,sn2004cs
400,ATEL #321,sn2004dt
401,ATEL #321,sn2004ds
402,ATEL #324,SGR 1806-20
403,ATEL #325,SGR 1806-20
404,ATEL #326,4U0115+634
405,ATEL #328,IGR J17331-2406
406,ATEL #329,IGR J16465-4507
407,ATEL #329,IGRJ16465-4507
408,ATEL #329,IGR J16479-4514
409,ATEL #330,m31
410,ATEL #331,4U 0115+63
411,ATEL #331,PSR B0115+63
412,ATEL #332,XTE J1743-363
413,ATEL #333,4U 0115+634
414,ATEL #334,m31
415,ATEL #335,XTE J1743-363
416,ATEL #336,IGR J16465-4507
417,ATEL #336,2MASS J16463526-4507045
418,ATEL #337,4U 0115+63
419,ATEL #338,XTE J1739-302
420,ATEL #338,IGR J16465-4507
421,ATEL #338,IGR J17544-2619
422,ATEL #338,1RXS J175428.3-262035
423,ATEL #339,IGR J01363+6610
424,ATEL #340,IGR J18406-0539
425,ATEL #340,IGR J18410-0535
426,ATEL #341,IGR J18410-0535
427,ATEL #341,AX J1841.0-0536
428,ATEL #342,SAX J1750.8-2900
429,ATEL #342,AX J1750.5-2900
430,ATEL #342,IGR J17507-2856
431,ATEL #343,IGR J01363+6610
432,ATEL #344,XTE J1829-098
433,ATEL #345,SLX 1737-282
434,ATEL #346,m31
435,ATEL #347,XTE J0055-727
436,ATEL #348,sn2004dx
437,ATEL #348,sn2004eh
438,ATEL #350,1E1145.1-6141
439,ATEL #350,IGR J11435-6109
440,ATEL #350,1RXS J114358.1-610736
441,ATEL #350,4U1145-619
442,ATEL #351,sn2004gk
443,ATEL #351,sn2002ap
444,ATEL #351,ic3311
445,ATEL #351,sn1998bw
446,ATEL #352,4U 0027+59
447,ATEL #353,IGR J00291+5934
448,ATEL #354,IGR J00291+5934
449,ATEL #355,IGR J00291+5934
450,ATEL #356,IGR J00291+5934
451,ATEL #357,IGR J00291+5934
452,ATEL #358,1E1145.1-6141
453,ATEL #358,4U 1145-619
454,ATEL #358,IGR J11435-6109
455,ATEL #359,1E1145.1-6141
456,ATEL #359,4U 1145-619
457,ATEL #359,IGR J11435-6109
458,ATEL #360,SAX J1808.4-3658
459,ATEL #360,IGR J00291+5934
460,ATEL #361,IGR J00291+5934
461,ATEL #362,IGR J00291+5934
462,ATEL #362,IGR J11435-6109
463,ATEL #362,1RXS J114358.1-610736
464,ATEL #362,2E 1141.6-6050
465,ATEL #363,IGR J00291+5934
466,ATEL #364,IGR J00291+5934
467,ATEL #365,IGR J00291+5934
468,ATEL #366,IGR J00291+5934
469,ATEL #367,EXO 2030+375
470,ATEL #367,EXO2030+375
471,ATEL #368,sn1998bw
472,ATEL #368,sn2004gq
473,ATEL #369,IGR J00291+5934
474,ATEL #370,IGR J11435-6109
475,ATEL #370,1RXS J114358.1-610736
476,ATEL #370,2E 1141.6-6050
477,ATEL #371,4U0115+63
478,ATEL #373,SGR 1900+14
479,ATEL #373,SGR 1806-20
480,ATEL #374,m101
481,ATEL #375,SGR 1806-20
482,ATEL #376,sn1998bw
483,ATEL #376,grb980425
484,ATEL #377,IGR J11435-6109
485,ATEL #378,SGR 1806-20
486,ATEL #379,m31
487,ATEL #380,SGR 1806-20
488,ATEL #381,4U0115+63
489,ATEL #383,XTE J1118+480
490,ATEL #384,XTE J1118+480
491,ATEL #385,XTE J1118+480
492,ATEL #386,XTE J1118+480
493,ATEL #387,XTE J1118+480
494,ATEL #389,XTE J1118+480
495,ATEL #390,XTE J1118+480
496,ATEL #391,sn1994gw
497,ATEL #391,sn2005d
498,ATEL #392,sn2005b
499,ATEL #392,ic983
500,ATEL #392,sn2005e
501,ATEL #392,sn2004gw
502,ATEL #392,sn1994gw
503,ATEL #392,sn2004gz
504,ATEL #393,XTE J1118+480
505,ATEL #394,1RXS J002258.3+614111
506,ATEL #394,IGR J00234+6141
507,ATEL #395,SAX J1808.4-3658
508,ATEL #395,IGRJ00291+5934
509,ATEL #396,sn2005m
510,ATEL #396,sn1991t
511,ATEL #397,sn2005m
512,ATEL #399,XTE J1118+480
513,ATEL #400,XTE J1118+480
514,ATEL #401,sn2005l
515,ATEL #402,XTE J1118+480
516,ATEL #403,2QZ J142701.6-012310
517,ATEL #404,XTE J1118+480
518,ATEL #405,XMMU J004723.7-731226
519,ATEL #405,RXJ0047.3-7312
520,ATEL #405,AXJ0047.3-7312
521,ATEL #406,sn2005aa
522,ATEL #406,sn2005z
523,ATEL #407,SGR 1806-20
524,ATEL #408,sn2001ay
525,ATEL #408,SDSS J133955.93+005217.1
526,ATEL #408,sn2005ac
527,ATEL #409,CXOU J140332.3+542103
528,ATEL #409,m101
529,ATEL #411,sn1994y
530,ATEL #411,LCRS B102141.5-032936
531,ATEL #412,XTE J1118+480
532,ATEL #418,4U 1543-47
533,ATEL #420,XTE J1118+480
534,ATEL #421,ngc224
535,ATEL #421,m31
536,ATEL #424,XTE J1118+480
537,ATEL #424,XTE J1859+226
538,ATEL #426,AXJ0054.8-7244
539,ATEL #426,CXOU J005455.6-724510
540,ATEL #426,RX J0054.9-7245
541,ATEL #427,sn2005ak
542,ATEL #428,XTE J1118+480
543,ATEL #429,XTE J1739-302
544,ATEL #429,IGR J16465-4507
545,ATEL #429,IGR J17544-2619
546,ATEL #429,2MASS J16463526-4507045
547,ATEL #430,sn2005al
548,ATEL #431,sn2005u
549,ATEL #431,sn1993j
550,ATEL #434,GRJ1655-40
551,ATEL #437,GRJ1655-40
552,ATEL #439,SGR 1806-20
553,ATEL #441,GRJ1655-40
554,ATEL #443,GRJ1655-40
555,ATEL #444,IGR J17091-3624
556,ATEL #444,IGRJ17091-3624
557,ATEL #444,IGR J1709.8-3628
558,ATEL #445,GROJ1655-40
559,ATEL #446,XTE J1751-305
560,ATEL #447,IGR J17098-3628
561,ATEL #448,sn2005ay
562,ATEL #449,XTE J1751-305
563,ATEL #451,sn2005az
564,ATEL #453,IGR J17098-3628
565,ATEL #454,sn1996x
566,ATEL #454,sn2005be
567,ATEL #456,IGR J16283-4838
568,ATEL #457,PSR J1649-4349
569,ATEL #457,IGR J16493-4348
570,ATEL #458,IGR J16283-4838
571,ATEL #459,IGR J16283-4838
572,ATEL #460,IGR J16283-4838
573,ATEL #460,2MASS J16281083-4838560
574,ATEL #462,MXB1730-335
575,ATEL #463,IGR J17303-0601
576,ATEL #463,1RXS J173021.5-055933
577,ATEL #464,GRS 1915+105
578,ATEL #465,IGR J16283-4838
579,ATEL #465,IGR J1649-4348
580,ATEL #465,IGR J16493-4348
581,ATEL #465,PSR J1649-4349
582,ATEL #466,sn2005bp
583,ATEL #467,IGR J17473-2721
584,ATEL #468,XTE J1550-564
585,ATEL #468,4U 1543-47
586,ATEL #469,IGR J11215-5952
587,ATEL #470,2MASS J11220105-5950185
588,ATEL #470,IGR J11215-5952
589,ATEL #470,2MASS J11214129-5953035
590,ATEL #470,2MASS J11220165-5952502
591,ATEL #470,HD 306414
592,ATEL #471,sn2005bt
593,ATEL #473,ugc8539
594,ATEL #474,sn2005bx
595,ATEL #475,sn1988z
596,ATEL #475,sn2005bx
597,ATEL #476,IGR J17098-3626
598,ATEL #477,2MASS J17094612-3627573
599,ATEL #477,IGR J17098-3628
600,ATEL #478,IGR J16283-4838
601,ATEL #478,IGRJ17098-3628
602,ATEL #478,IGRJ16283-4838
603,ATEL #478,IGR J17098-3628
604,ATEL #479,2MASS J17094612-3627573
605,ATEL #479,IGRJ17098-3628
606,ATEL #479,IGR J17098-3628
607,ATEL #481,SDSS J124819.36+072049.4
608,ATEL #483,4U 1608-522
609,ATEL #483,4U 0614+091
610,ATEL #489,GRJ1655-40
611,ATEL #490,IGR J17098-3628
612,ATEL #492,sn2004et
613,ATEL #492,ngc6946
614,ATEL #493,ugc11162
615,ATEL #493,sn2005bz
616,ATEL #494,IGR J17098-3628
617,ATEL #495,4U 1715-39
618,ATEL #495,ngc6440
619,ATEL #495,4U 1850-087
620,ATEL #495,MXB 1746-20
621,ATEL #495,ngc6712
622,ATEL #498,XTE J1747-274
623,ATEL #498,GCRT J1746-2757
624,ATEL #499,2MASX J21355254-2627050
625,ATEL #499,sn1994d
626,ATEL #500,XTE J1747-274
627,ATEL #500,RXTE J1747-274
628,ATEL #500,IGR J17473-2721
629,ATEL #501,pks1209-51
630,ATEL #501,PSR J1852+0040
631,ATEL #502,ngc5383
632,ATEL #502,sn2005cc
633,ATEL #502,sn2002cx
634,ATEL #503,GRS1915+105
635,ATEL #503,GRS 1915+105
636,ATEL #504,1A 0535+262
637,ATEL #505,SAX J1808.4-3658
638,ATEL #506,SAX J1808.4-3658
639,ATEL #507,SAX J1808.4-3658
640,ATEL #509,sn2005by
641,ATEL #510,PSR J1852+0040
642,ATEL #511,SAX J1808.4-3658
643,ATEL #512,GRS 1741.9-2853
644,ATEL #513,SAX J1808.4-3658
645,ATEL #515,SAX J1808.4-3658
646,ATEL #515,SAXJ1808.4-3658
647,ATEL #517,SAX J1808.4-3658
648,ATEL #518,m31
649,ATEL #519,IGR J12349-6434
650,ATEL #519,2RXP J130159.6-635806
651,ATEL #520,m31
652,ATEL #521,XTE J1747-274
653,ATEL #521,IGR J17473-2721
654,ATEL #522,GRS 1741.9-2853
655,ATEL #523,HETE J1900.1-2455
656,ATEL #524,SAX J1808.4-3658
657,ATEL #525,HETE J1900.1-2455
658,ATEL #526,HETE J1900.5-2455
659,ATEL #526,HETE J1900.1-2455
660,ATEL #527,SAX J1808.4-3658
661,ATEL #528,IGR J12349-6434
662,ATEL #529,SAX J1808.4-3658
663,ATEL #530,HETE J1900.1-2455
664,ATEL #531,IGR J11435-6109
665,ATEL #532,ic1496
666,ATEL #533,HETE J1900.1-2455
667,ATEL #534,HETE J1900.1-2455
668,ATEL #535,HETE J1900.1-2455
669,ATEL #537,2E1853.7+1534
670,ATEL #537,IGR J16482-3036
671,ATEL #537,4U1344-60
672,ATEL #537,IGR J10404-4625
673,ATEL #537,LEDA 170194
674,ATEL #538,HETE J1900.1-2455
675,ATEL #539,SLX 1735-269
676,ATEL #541,HETE J1900.1-2455
677,ATEL #543,HETE J1900.1-2455
678,ATEL #544,sn1990n
679,ATEL #548,sn1999em
680,ATEL #557,1A 0535+262
681,ATEL #560,sn1999em
682,ATEL #560,ic1439
683,ATEL #561,m51
684,ATEL #561,sn2005cs
685,ATEL #564,pks0537-441
686,ATEL #567,XTE J1748-361
687,ATEL #568,sn2005cy
688,ATEL #568,ugc11241
689,ATEL #568,sn1994d
690,ATEL #568,sn2005cx
691,ATEL #569,ic178
692,ATEL #570,sn2005db
693,ATEL #571,sn1998bw
694,ATEL #571,sn2003jd
695,ATEL #571,sn2005da
696,ATEL #572,IGR J19473+4452
697,ATEL #572,IRAS 12002-5333
698,ATEL #572,IRAS 07545-4129
699,ATEL #572,2MASX J19471938+4449425
700,ATEL #572,NVSS J123906.3-161046
701,ATEL #572,XSS J1238.9-1614
702,ATEL #572,LEDA 170194
703,ATEL #572,ngc4992
704,ATEL #573,ugc11800
705,ATEL #575,XTE J17464-3213
706,ATEL #575,IGR J1746-3213
707,ATEL #576,XTE J17464-3213
708,ATEL #576,IGR J1746-3213
709,ATEL #579,XTE J1818-245
710,ATEL #580,XTE J1818-245
711,ATEL #581,sn2005di
712,ATEL #581,sn2005dh
713,ATEL #583,XTE J1818-245
714,ATEL #585,XTE J1818-245
715,ATEL #585,XTEJ1818-245
716,ATEL #586,sn1999dd
717,ATEL #586,sn1999de
718,ATEL #587,ugc3545
719,ATEL #587,sn2005dj
720,ATEL #588,XTE J1818-245
721,ATEL #589,XTE J1818-245
722,ATEL #590,XTE J1818-245
723,ATEL #590,HETE J1900.1-2455
724,ATEL #591,IGR J12349-6434
725,ATEL #592,XTE J1739-285
726,ATEL #593,4U 1730-335
727,ATEL #594,ngc2276
728,ATEL #596,sn1991bg
729,ATEL #596,sn2005dm
730,ATEL #598,4U 1730-335
731,ATEL #598,MXB 1730-335
732,ATEL #599,IGR J16479-4514
733,ATEL #600,m31
734,ATEL #601,1A 0535+262
735,ATEL #602,XTE J1739-285
736,ATEL #604,XTE J1739-285
737,ATEL #606,m31
738,ATEL #607,GRO 1655-40
739,ATEL #609,GRJ1655-40
740,ATEL #610,sn2005ec
741,ATEL #610,sn1994d
742,ATEL #610,ngc1690
743,ATEL #611,m31
744,ATEL #612,GRJ1655-40
745,ATEL #615,XTE J1739-285
746,ATEL #616,IGR J17419-2802
747,ATEL #617,IGR J17419-2802
748,ATEL #618,m31
749,ATEL #620,ugc1990
750,ATEL #620,sn1999aa
751,ATEL #620,sn2005eu
752,ATEL #620,sn1996x
753,ATEL #620,sn1999ee
754,ATEL #621,sn1998bw
755,ATEL #621,sn2005bf
756,ATEL #622,XTE J1739-285
757,ATEL #624,XTE J1726-476
758,ATEL #624,IGR J17269-4737
759,ATEL #626,IGR J17269-4737
760,ATEL #626,XTE J1727-476
761,ATEL #627,m31
762,ATEL #627,TSS J004420.7+412311
763,ATEL #629,IGR J17269-4737
764,ATEL #629,XTE J1727-476
765,ATEL #630,ngc1423
766,ATEL #630,sn2005gm
767,ATEL #630,sn2005gl
768,ATEL #630,ngc266
769,ATEL #631,IGR J17269-4737
